UF,ano,area_desmatada_km,pib_previsto,idh_previsto
AC,2022.0,1005.8639714607376,21.24559565146319,0.7299380706033869
AC,2023.0,462.9517991403408,23.219377134413662,0.7172454031739894
AC,2024.0,411.3486740574316,24.883272760946056,0.7141524466509077
AM,2022.0,3047.684043418366,145.43164464452275,0.6853590031901429
AM,2023.0,1309.5532217350287,134.98303422956087,0.7315787039408304
AM,2024.0,1110.4024936270914,139.64262513367976,0.7387426474782273
AP,2022.0,14.071744400893776,20.94493617289845,0.6914991622868953
AP,2023.0,15.744115724911408,22.03327217633705,0.6829265866682732
AP,2024.0,29.42065619234016,23.112005893925925,0.6813013472928979
MA,2022.0,299.7447925832987,128.29162239418656,0.6852762144592695
MA,2023.0,309.86044196648066,136.56422007588844,0.6844012178589298
MA,2024.0,294.0575911229235,145.4951386118919,0.682731405016098
MT,2022.0,2020.6208659309957,247.80544779689808,0.7325679335984852
MT,2023.0,1940.102550323832,288.0263045384927,0.7155714416302033
MT,2024.0,1302.5179211820755,365.28400924318703,0.6785527940636342
PA,2022.0,4530.624570563865,291.06501601568016,0.7027869132700222
PA,2023.0,2884.808995714592,342.88097799119714,0.7012221230896871
PA,2024.0,2260.842762264992,383.9001852954243,0.7005119189808515
RO,2022.0,1452.199420578922,58.13169532522079,0.7336349989391007
RO,2023.0,796.8480804590592,54.13927275372771,0.8163896786777869
RO,2024.0,378.4173039266722,52.58084480816706,0.8715531360800028
RR,2022.0,293.18354371304395,19.54905060523106,0.6977971725082419
RR,2023.0,276.00933393646943,21.17909689945509,0.6832299022032515
RR,2024.0,447.7811953655382,22.412146479936837,0.6770578565936312
TO,2022.0,30.95618211459404,54.184150326434974,0.740204010066482
TO,2023.0,30.42795180379757,57.77991078649757,0.742752986038073
TO,2024.0,33.694210408691845,63.1642684882554,0.7361943173937051
