UF,area_km
AC,892.6109731432017
AM,2167.098538087675
AP,16.089384739468322
MA,318.4825212857478
MT,1972.0257646619318
PA,5085.511560302202
RO,1648.0452558835473
RR,283.6909598763855
TO,32.14745190822136
