IDHM - Índice de Desenvolvimento Humano Municipal
Sigla,Código,Município,2000,2010,
RO,1100080,Costa Marques,0.486,0.611,
RO,1100098,Espigão D'Oeste,0.501,0.672,
RO,1100106,Guajará-Mirim,0.573,0.657,
RO,1100114,Jaru,0.514,0.689,
RO,1100122,Ji-Paraná,0.564,0.714,
RO,1100130,Machadinho D'Oeste,0.449,0.596,
RO,1100148,Nova Brasilândia D'Oeste,0.459,0.643,
RO,1100155,Ouro Preto do Oeste,0.533,0.682,
RO,1100189,Pimenta Bueno,0.573,0.71,
RO,1100205,Porto Velho,0.613,0.736,
RO,1100254,Presidente Médici,0.485,0.664,
RO,1100262,Rio Crespo,0.441,0.643,
RO,1100288,Rolim de Moura,0.559,0.7,
RO,1100296,Santa Luzia D'Oeste,0.482,0.67,
RO,1100304,Vilhena,0.62,0.731,
RO,1100320,São Miguel do Guaporé,0.409,0.646,
RO,1100338,Nova Mamoré,0.446,0.587,
RO,1100346,Alvorada D'Oeste,0.469,0.643,
RO,1100379,Alto Alegre dos Parecis,0.402,0.592,
RO,1100403,Alto Paraíso,0.446,0.625,
RO,1100452,Buritis,0.415,0.616,
RO,1100502,Novo Horizonte do Oeste,0.442,0.634,
RO,1100601,Cacaulândia,0.454,0.646,
RO,1100700,Campo Novo de Rondônia,0.432,0.593,
RO,1100809,Candeias do Jamari,0.478,0.649,
RO,1100908,Castanheiras,0.498,0.658,
RO,1100924,Chupinguaia,0.479,0.652,
RO,1100940,Cujubim,0.425,0.612,
RO,1101005,Governador Jorge Teixeira,0.38,0.596,
RO,1101104,Itapuã do Oeste,0.478,0.614,
RO,1101203,Ministro Andreazza,0.467,0.638,
RO,1101302,Mirante da Serra,0.47,0.643,
RO,1101401,Monte Negro,0.435,0.607,
RO,1101435,Nova União,0.405,0.587,
RO,1101450,Parecis,0.412,0.617,
RO,1101468,Pimenteiras do Oeste,0.524,0.665,
RO,1101476,Primavera de Rondônia,0.439,0.641,
RO,1101484,São Felipe D'Oeste,0.466,0.649,
RO,1101492,São Francisco do Guaporé,0.434,0.611,
RO,1101500,Seringueiras,0.439,0.598,
RO,1101559,Teixeirópolis,0.44,0.643,
RO,1101609,Theobroma,0.402,0.589,
RO,1101708,Urupá,0.424,0.609,
RO,1101757,Vale do Anari,0.409,0.584,
RO,1101807,Vale do Paraíso,0.438,0.627,
RR,1400027,Amajari,0.42,0.484,
RR,1400050,Alto Alegre,0.46,0.542,
RR,1400100,Boa Vista,0.649,0.752,
RR,1400159,Bonfim,0.458,0.626,
RR,1400175,Cantá,0.499,0.619,
RR,1400209,Caracaraí,0.521,0.624,
RR,1400233,Caroebe,0.492,0.639,
RR,1400282,Iracema,0.518,0.582,
RR,1400308,Mucajaí,0.55,0.665,
RR,1400407,Normandia,0.373,0.594,
RR,1400456,Pacaraima,0.544,0.65,
RR,1400472,Rorainópolis,0.501,0.619,
RR,1400506,São João da Baliza,0.538,0.655,
RR,1400605,São Luiz,0.545,0.649,
RR,1400704,Uiramutã,0.333,0.453,
TO,1700251,Abreulândia,0.454,0.665,
TO,1700301,Aguiarnópolis,0.466,0.657,
TO,1700350,Aliança do Tocantins,0.544,0.663,
TO,1700400,Almas,0.42,0.636,
TO,1700707,Alvorada,0.578,0.708,
TO,1701002,Ananás,0.496,0.671,
TO,1701051,Angico,0.485,0.648,
TO,1701101,Aparecida do Rio Negro,0.479,0.651,
TO,1701309,Aragominas,0.402,0.593,
TO,1701903,Araguacema,0.477,0.639,
TO,1702000,Araguaçu,0.542,0.675,
TO,1702109,Araguaína,0.58,0.752,
TO,1702158,Araguanã,0.388,0.604,
TO,1702208,Araguatins,0.432,0.631,
TO,1702307,Arapoema,0.48,0.68,
TO,1702406,Arraias,0.474,0.651,
TO,1702554,Augustinópolis,0.462,0.67,
TO,1702703,Aurora do Tocantins,0.486,0.677,
TO,1702901,Axixá do Tocantins,0.432,0.627,
TO,1703008,Babaçulândia,0.397,0.642,
TO,1703057,Bandeirantes do Tocantins,0.445,0.638,
TO,1703073,Barra do Ouro,0.36,0.603,
TO,1703107,Barrolândia,0.497,0.642,
TO,1703206,Bernardo Sayão,0.504,0.638,
TO,1703305,Bom Jesus do Tocantins,0.396,0.66,
TO,1703602,Brasilândia do Tocantins,0.505,0.684,
TO,1703701,Brejinho de Nazaré,0.487,0.686,
TO,1703800,Buriti do Tocantins,0.462,0.627,
TO,1703826,Cachoeirinha,0.443,0.627,
TO,1703842,Campos Lindos,0.343,0.544,
TO,1703867,Cariri do Tocantins,0.528,0.662,
TO,1703883,Carmolândia,0.447,0.64,
TO,1703891,Carrasco Bonito,0.407,0.594,
TO,1703909,Caseara,0.49,0.658,
TO,1704105,Centenário,0.407,0.569,
TO,1704600,Chapada de Areia,0.41,0.619,
TO,1705102,Chapada da Natividade,0.401,0.62,
TO,1705508,Colinas do Tocantins,0.561,0.701,
TO,1705557,Combinado,0.526,0.697,
TO,1705607,Conceição do Tocantins,0.422,0.592,
TO,1706001,Couto de Magalhães,0.409,0.605,
TO,1706100,Cristalândia,0.544,0.673,
TO,1706258,Crixás do Tocantins,0.491,0.644,
TO,1706506,Darcinópolis,0.41,0.581,
TO,1707009,Dianópolis,0.515,0.701,
TO,1707108,Divinópolis do Tocantins,0.503,0.683,
TO,1707207,Dois Irmãos do Tocantins,0.439,0.583,
TO,1707306,Dueré,0.5,0.679,
TO,1707405,Esperantina,0.357,0.57,
TO,1707553,Fátima,0.543,0.697,
TO,1707652,Figueirópolis,0.553,0.689,
TO,1707702,Filadélfia,0.447,0.621,
TO,1708205,Formoso do Araguaia,0.507,0.67,
TO,1708254,Fortaleza do Tabocão,0.473,0.659,
TO,1708304,Goianorte,0.416,0.621,
TO,1709005,Goiatins,0.347,0.576,
TO,1709302,Guaraí,0.559,0.741,
TO,1709500,Gurupi,0.61,0.759,
TO,1709807,Ipueiras,0.384,0.62,
TO,1710508,Itacajá,0.426,0.612,
TO,1710706,Itaguatins,0.378,0.616,
TO,1710904,Itapiratins,0.382,0.601,
TO,1711100,Itaporã do Tocantins,0.515,0.65,
TO,1711506,Jaú do Tocantins,0.471,0.662,
TO,1711803,Juarina,0.448,0.584,
TO,1711902,Lagoa da Confusão,0.479,0.627,
TO,1711951,Lagoa do Tocantins,0.317,0.579,
TO,1712009,Lajeado,0.506,0.675,
TO,1712157,Lavandeira,0.431,0.66,
TO,1712405,Lizarda,0.388,0.57,
TO,1712454,Luzinópolis,0.454,0.639,
TO,1712504,Marianópolis do Tocantins,0.497,0.631,
TO,1712702,Mateiros,0.281,0.607,
TO,1712801,Maurilândia do Tocantins,0.383,0.58,
TO,1713205,Miracema do Tocantins,0.58,0.684,
TO,1713304,Miranorte,0.508,0.662,
TO,1713601,Monte do Carmo,0.413,0.622,
TO,1713700,Monte Santo do Tocantins,0.454,0.62,
TO,1713809,Palmeiras do Tocantins,0.435,0.628,
TO,1713957,Muricilândia,0.386,0.596,
TO,1714203,Natividade,0.476,0.673,
TO,1714302,Nazaré,0.482,0.643,
TO,1714880,Nova Olinda,0.467,0.631,
TO,1715002,Nova Rosalândia,0.556,0.661,
TO,1715101,Novo Acordo,0.473,0.639,
TO,1715150,Novo Alegre,0.544,0.699,
TO,1715259,Novo Jardim,0.371,0.596,
TO,1715507,Oliveira de Fátima,0.496,0.675,
TO,1715705,Palmeirante,0.326,0.571,
TO,1715754,Palmeirópolis,0.545,0.673,
TO,1716109,Paraíso do Tocantins,0.613,0.764,
TO,1716208,Paranã,0.334,0.595,
TO,1716307,Pau D'Arco,0.426,0.661,
TO,1716505,Pedro Afonso,0.546,0.732,
TO,1716604,Peixe,0.482,0.674,
TO,1716653,Pequizeiro,0.433,0.627,
TO,1716703,Colméia,0.502,0.671,
TO,1717008,Pindorama do Tocantins,0.423,0.605,
TO,1717206,Piraquê,0.431,0.621,
TO,1717503,Pium,0.487,0.65,
TO,1717800,Ponte Alta do Bom Jesus,0.411,0.603,
TO,1717909,Ponte Alta do Tocantins,0.461,0.624,
TO,1718006,Porto Alegre do Tocantins,0.44,0.645,
TO,1718204,Porto Nacional,0.562,0.74,
TO,1718303,Praia Norte,0.374,0.583,
TO,1718402,Presidente Kennedy,0.527,0.669,
TO,1718451,Pugmil,0.45,0.669,
TO,1718501,Recursolândia,0.33,0.5,
TO,1718550,Riachinho,0.361,0.572,
TO,1718659,Rio da Conceição,0.412,0.608,
TO,1718709,Rio dos Bois,0.476,0.616,
TO,1718758,Rio Sono,0.363,0.6,
TO,1718808,Sampaio,0.457,0.606,
TO,1718840,Sandolândia,0.498,0.659,
TO,1718865,Santa Fé do Araguaia,0.439,0.616,
TO,1718881,Santa Maria do Tocantins,0.412,0.634,
TO,1718899,Santa Rita do Tocantins,0.43,0.651,
TO,1718907,Santa Rosa do Tocantins,0.41,0.595,
TO,1719004,Santa Tereza do Tocantins,0.479,0.662,
TO,1720002,Santa Terezinha do Tocantins,0.398,0.637,
TO,1720101,São Bento do Tocantins,0.411,0.605,
TO,1720150,São Félix do Tocantins,0.419,0.574,
TO,1720200,São Miguel do Tocantins,0.42,0.623,
TO,1720259,São Salvador do Tocantins,0.419,0.605,
TO,1720309,São Sebastião do Tocantins,0.439,0.573,
TO,1720499,São Valério da Natividade,0.46,0.643,
TO,1720655,Silvanópolis,0.451,0.675,
TO,1720804,Sítio Novo do Tocantins,0.457,0.604,
TO,1720853,Sucupira,0.453,0.667,
TO,1720903,Taguatinga,0.451,0.634,
TO,1720937,Taipas do Tocantins,0.387,0.601,
TO,1720978,Talismã,0.481,0.654,
TO,1721000,Palmas,0.654,0.788,
TO,1721109,Tocantínia,0.445,0.589,
TO,1721208,Tocantinópolis,0.542,0.681,
TO,1721257,Tupirama,0.445,0.67,
TO,1721307,Tupiratins,0.446,0.587,
TO,1722081,Wanderlândia,0.474,0.638,
TO,1722107,Xambioá,0.504,0.671,
