IDHM - Índice de Desenvolvimento Humano Municipal
Sigla,Código,Município,2000,2010,
MA,2102556,Campestre do Maranhão,0.441,0.652,
MA,2102606,Cândido Mendes,0.382,0.561,
MA,2102705,Cantanhede,0.378,0.565,
MA,2102754,Capinzal do Norte,0.367,0.537,
MA,2102804,Carolina,0.476,0.634,
MA,2102903,Carutapera,0.381,0.574,
MA,2103109,Cedral,0.452,0.605,
MA,2103125,Central do Maranhão,0.392,0.585,
MA,2103158,Centro do Guilherme,0.307,0.542,
MA,2103174,Centro Novo do Maranhão,0.321,0.518,
MA,2103257,Cidelândia,0.414,0.6,
MA,2103307,Codó,0.4,0.595,
MA,2103505,Colinas,0.408,0.596,
MA,2103554,Conceição do Lago-Açu,0.309,0.512,
MA,2103604,Coroatá,0.376,0.576,
MA,2103703,Cururupu,0.46,0.612,
MA,2103752,Davinópolis,0.418,0.607,
MA,2103802,Dom Pedro,0.48,0.622,
MA,2104008,Esperantinópolis,0.375,0.586,
MA,2104057,Estreito,0.468,0.659,
MA,2104073,Feira Nova do Maranhão,0.302,0.532,
MA,2104081,Fernando Falcão,0.261,0.443,
MA,2104099,Formosa da Serra Negra,0.335,0.556,
MA,2104107,Fortaleza dos Nogueiras,0.42,0.616,
MA,2104206,Fortuna,0.43,0.58,
MA,2104305,Godofredo Viana,0.388,0.604,
MA,2104404,Gonçalves Dias,0.395,0.568,
MA,2104503,Governador Archer,0.377,0.565,
MA,2104552,Governador Edison Lobão,0.422,0.629,
MA,2104602,Governador Eugênio Barros,0.393,0.572,
MA,2104628,Governador Luiz Rocha,0.369,0.544,
MA,2104651,Governador Newton Bello,0.318,0.521,
MA,2104677,Governador Nunes Freire,0.361,0.569,
MA,2104701,Graça Aranha,0.406,0.57,
MA,2104800,Grajaú,0.421,0.609,
MA,2104909,Guimarães,0.479,0.625,
MA,2105104,Icatu,0.348,0.546,
MA,2105153,Igarapé do Meio,0.341,0.569,
MA,2105203,Igarapé Grande,0.443,0.614,
MA,2105302,Imperatriz,0.591,0.731,
MA,2105351,Itaipava do Grajaú,0.319,0.518,
MA,2105401,Itapecuru Mirim,0.431,0.599,
MA,2105427,Itinga do Maranhão,0.48,0.63,
MA,2105450,Jatobá,0.385,0.561,
MA,2105476,Jenipapo dos Vieiras,0.335,0.49,
MA,2105500,João Lisboa,0.454,0.641,
MA,2105609,Joselândia,0.367,0.561,
MA,2105658,Junco do Maranhão,0.372,0.552,
MA,2105708,Lago da Pedra,0.43,0.589,
MA,2105807,Lago do Junco,0.388,0.581,
MA,2105906,Lago Verde,0.348,0.557,
MA,2105948,Lago dos Rodrigues,0.393,0.602,
MA,2105963,Lagoa Grande do Maranhão,0.309,0.502,
MA,2105989,Lajeado Novo,0.374,0.589,
MA,2106003,Lima Campos,0.405,0.581,
MA,2106102,Loreto,0.398,0.582,
MA,2106201,Luís Domingues,0.452,0.588,
MA,2106326,Maracaçumé,0.391,0.582,
MA,2106359,Marajá do Sena,0.309,0.452,
MA,2106375,Maranhãozinho,0.306,0.55,
MA,2106508,Matinha,0.443,0.619,
MA,2106631,Matões do Norte,0.342,0.533,
MA,2106706,Mirador,0.368,0.545,
MA,2106755,Miranda do Norte,0.471,0.61,
MA,2106805,Mirinzal,0.491,0.622,
MA,2106904,Monção,0.366,0.546,
MA,2107001,Montes Altos,0.412,0.575,
MA,2107100,Morros,0.4,0.548,
MA,2107209,Nina Rodrigues,0.415,0.585,
MA,2107258,Nova Colinas,0.371,0.566,
MA,2107308,Nova Iorque,0.416,0.584,
MA,2107357,Nova Olinda do Maranhão,0.382,0.581,
MA,2107407,Olho d'Água das Cunhãs,0.402,0.589,
MA,2107456,Olinda Nova do Maranhão,0.412,0.575,
MA,2107506,Paço do Lumiar,0.617,0.724,
MA,2107605,Palmeirândia,0.383,0.556,
MA,2107704,Paraibano,0.409,0.58,
MA,2108009,Pastos Bons,0.431,0.61,
MA,2108108,Paulo Ramos,0.358,0.549,
MA,2108207,Pedreiras,0.502,0.682,
MA,2108256,Pedro do Rosário,0.316,0.516,
MA,2108306,Penalva,0.381,0.554,
MA,2108405,Peri Mirim,0.403,0.599,
MA,2108454,Peritoró,0.354,0.564,
MA,2108504,Pindaré-Mirim,0.459,0.633,
MA,2108603,Pinheiro,0.467,0.637,
MA,2108702,Pio XII,0.36,0.541,
MA,2108801,Pirapemas,0.384,0.576,
MA,2108900,Poção de Pedras,0.396,0.576,
MA,2109007,Porto Franco,0.504,0.684,
MA,2109056,Porto Rico do Maranhão,0.45,0.615,
MA,2109106,Presidente Dutra,0.496,0.653,
MA,2109205,Presidente Juscelino,0.371,0.563,
MA,2109239,Presidente Médici,0.432,0.591,
MA,2109270,Presidente Sarney,0.328,0.557,
MA,2109304,Presidente Vargas,0.389,0.587,
MA,2109452,Raposa,0.44,0.626,
MA,2109502,Riachão,0.38,0.576,
MA,2109551,Ribamar Fiquene,0.402,0.615,
MA,2109601,Rosário,0.484,0.632,
MA,2109700,Sambaíba,0.403,0.565,
MA,2109759,Santa Filomena do Maranhão,0.337,0.525,
MA,2109809,Santa Helena,0.398,0.571,
MA,2109908,Santa Inês,0.512,0.674,
MA,2110005,Santa Luzia,0.33,0.55,
MA,2110039,Santa Luzia do Paruá,0.395,0.599,
MA,2110203,Santa Rita,0.446,0.609,
MA,2110302,Santo Antônio dos Lopes,0.379,0.566,
MA,2110500,São Bento,0.449,0.602,
MA,2110658,São Domingos do Azeitão,0.398,0.59,
MA,2110708,São Domingos do Maranhão,0.394,0.582,
MA,2110807,São Félix de Balsas,0.391,0.557,
MA,2110856,São Francisco do Brejão,0.424,0.584,
MA,2111003,São João Batista,0.433,0.598,
MA,2111029,São João do Carú,0.281,0.509,
MA,2111052,São João do Paraíso,0.421,0.609,
MA,2111078,São João do Soter,0.334,0.517,
MA,2111201,São José de Ribamar,0.572,0.708,
MA,2111250,São José dos Basílios,0.374,0.557,
MA,2111300,São Luís,0.658,0.768,
MA,2111409,São Luís Gonzaga do Maranhão,0.336,0.54,
MA,2111508,São Mateus do Maranhão,0.388,0.616,
MA,2111532,São Pedro da Água Branca,0.415,0.605,
MA,2111573,São Pedro dos Crentes,0.365,0.6,
MA,2111607,São Raimundo das Mangabeiras,0.451,0.61,
MA,2111631,São Raimundo do Doca Bezerra,0.34,0.516,
MA,2111672,São Roberto,0.285,0.516,
MA,2111706,São Vicente Ferrer,0.423,0.592,
MA,2111722,Satubinha,0.319,0.493,
MA,2111748,Senador Alexandre Costa,0.362,0.538,
MA,2111763,Senador La Rocque,0.392,0.602,
MA,2111789,Serrano do Maranhão,0.343,0.519,
MA,2111805,Sítio Novo,0.376,0.564,
MA,2111904,Sucupira do Norte,0.398,0.579,
MA,2112001,Tasso Fragoso,0.445,0.599,
MA,2112100,Timbiras,0.344,0.537,
MA,2112233,Trizidela do Vale,0.434,0.606,
MA,2112274,Tufilândia,0.37,0.555,
MA,2112308,Tuntum,0.387,0.572,
MA,2112407,Turiaçu,0.329,0.561,
MA,2112456,Turilândia,0.322,0.536,
MA,2112704,Vargem Grande,0.363,0.542,
MA,2112803,Viana,0.457,0.618,
MA,2112852,Vila Nova dos Martírios,0.379,0.581,
MA,2112902,Vitória do Mearim,0.438,0.596,
MA,2113009,Vitorino Freire,0.412,0.57,
MA,2114007,Zé Doca,0.421,0.595,
MT,5100102,Acorizal,0.5,0.628,
MT,5100201,Água Boa,0.603,0.729,
MT,5100250,Alta Floresta,0.585,0.714,
MT,5100300,Alto Araguaia,0.583,0.704,
MT,5100359,Alto Boa Vista,0.496,0.651,
MT,5100409,Alto Garças,0.626,0.701,
MT,5100508,Alto Paraguai,0.507,0.638,
MT,5100607,Alto Taquari,0.634,0.705,
MT,5100805,Apiacás,0.501,0.675,
MT,5101001,Araguaiana,0.552,0.687,
MT,5101209,Araguainha,0.573,0.701,
MT,5101258,Araputanga,0.604,0.725,
MT,5101308,Arenápolis,0.587,0.704,
MT,5101407,Aripuanã,0.528,0.675,
MT,5101605,Barão de Melgaço,0.446,0.6,
MT,5101704,Barra do Bugres,0.55,0.693,
MT,5101803,Barra do Garças,0.631,0.748,
MT,5101852,Bom Jesus do Araguaia,0.429,0.661,
MT,5101902,Brasnorte,0.517,0.696,
MT,5102504,Cáceres,0.586,0.708,
MT,5102603,Campinápolis,0.443,0.538,
MT,5102637,Campo Novo do Parecis,0.595,0.734,
MT,5102678,Campo Verde,0.638,0.75,
MT,5102686,Campos de Júlio,0.636,0.744,
MT,5102694,Canabrava do Norte,0.486,0.667,
MT,5102702,Canarana,0.565,0.693,
MT,5102793,Carlinda,0.484,0.665,
MT,5102850,Castanheira,0.489,0.665,
MT,5103007,Chapada dos Guimarães,0.522,0.688,
MT,5103056,Cláudia,0.563,0.699,
MT,5103106,Cocalinho,0.5,0.66,
MT,5103205,Colíder,0.575,0.713,
MT,5103254,Colniza,0.404,0.611,
MT,5103304,Comodoro,0.521,0.689,
MT,5103353,Confresa,0.451,0.668,
MT,5103361,Conquista D'Oeste,0.456,0.718,
MT,5103379,Cotriguaçu,0.47,0.601,
MT,5103403,Cuiabá,0.692,0.785,
MT,5103437,Curvelândia,0.53,0.69,
MT,5103452,Denise,0.564,0.683,
MT,5103502,Diamantino,0.636,0.718,
MT,5103601,Dom Aquino,0.555,0.69,
MT,5103700,Feliz Natal,0.515,0.692,
MT,5103809,Figueirópolis D'Oeste,0.576,0.679,
MT,5103858,Gaúcha do Norte,0.51,0.615,
MT,5103908,General Carneiro,0.486,0.67,
MT,5103957,Glória D'Oeste,0.574,0.71,
MT,5104104,Guarantã do Norte,0.53,0.703,
MT,5104203,Guiratinga,0.588,0.705,
MT,5104500,Indiavaí,0.517,0.661,
MT,5104526,Ipiranga do Norte,0.603,0.727,
MT,5104542,Itanhangá,0.506,0.71,
MT,5104559,Itaúba,0.511,0.69,
MT,5104609,Itiquira,0.541,0.693,
MT,5104807,Jaciara,0.634,0.735,
MT,5104906,Jangada,0.496,0.63,
MT,5105002,Jauru,0.5,0.673,
MT,5105101,Juara,0.572,0.682,
MT,5105150,Juína,0.56,0.716,
MT,5105176,Juruena,0.54,0.662,
MT,5105200,Juscimeira,0.568,0.714,
MT,5105234,Lambari D'Oeste,0.472,0.627,
MT,5105259,Lucas do Rio Verde,0.658,0.768,
MT,5105309,Luciára,0.534,0.676,
MT,5105507,Vila Bela da Santíssima Trindade,0.502,0.645,
MT,5105580,Marcelândia,0.573,0.701,
MT,5105606,Matupá,0.564,0.716,
MT,5105622,Mirassol d'Oeste,0.582,0.704,
MT,5105903,Nobres,0.538,0.699,
MT,5106000,Nortelândia,0.567,0.702,
MT,5106109,Nossa Senhora do Livramento,0.464,0.638,
MT,5106158,Nova Bandeirantes,0.434,0.65,
MT,5106174,Nova Nazaré,0.463,0.595,
MT,5106182,Nova Lacerda,0.464,0.636,
MT,5106190,Nova Santa Helena,0.497,0.714,
MT,5106208,Nova Brasilândia,0.516,0.651,
MT,5106216,Nova Canaã do Norte,0.484,0.686,
MT,5106224,Nova Mutum,0.64,0.758,
MT,5106232,Nova Olímpia,0.524,0.682,
MT,5106240,Nova Ubiratã,0.515,0.669,
MT,5106257,Nova Xavantina,0.587,0.704,
MT,5106265,Novo Mundo,0.492,0.674,
MT,5106273,Novo Horizonte do Norte,0.524,0.664,
MT,5106281,Novo São Joaquim,0.511,0.649,
MT,5106299,Paranaíta,0.516,0.672,
MT,5106307,Paranatinga,0.544,0.667,
MT,5106315,Novo Santo Antônio,0.373,0.653,
MT,5106372,Pedra Preta,0.565,0.679,
MT,5106422,Peixoto de Azevedo,0.502,0.649,
MT,5106455,Planalto da Serra,0.492,0.656,
MT,5106505,Poconé,0.528,0.652,
MT,5106653,Pontal do Araguaia,0.607,0.734,
MT,5106703,Ponte Branca,0.563,0.686,
MT,5106752,Pontes e Lacerda,0.548,0.703,
MT,5106778,Porto Alegre do Norte,0.519,0.673,
MT,5106802,Porto dos Gaúchos,0.585,0.685,
MT,5106828,Porto Esperidião,0.478,0.652,
MT,5106851,Porto Estrela,0.404,0.599,
MT,5107008,Poxoréo,0.554,0.678,
MT,5107040,Primavera do Leste,0.637,0.752,
MT,5107065,Querência,0.541,0.692,
MT,5107107,São José dos Quatro Marcos,0.571,0.719,
MT,5107156,Reserva do Cabaçal,0.548,0.676,
MT,5107180,Ribeirão Cascalheira,0.492,0.67,
MT,5107198,Ribeirãozinho,0.573,0.692,
MT,5107206,Rio Branco,0.539,0.707,
MT,5107248,Santa Carmem,0.579,0.715,
MT,5107263,Santo Afonso,0.53,0.689,
MT,5107297,São José do Povo,0.515,0.661,
MT,5107305,São José do Rio Claro,0.562,0.682,
MT,5107354,São José do Xingu,0.497,0.657,
MT,5107404,São Pedro da Cipa,0.563,0.66,
MT,5107578,Rondolândia,0.403,0.64,
MT,5107602,Rondonópolis,0.638,0.755,
MT,5107701,Rosário Oeste,0.534,0.65,
MT,5107743,Santa Cruz do Xingu,0.509,0.684,
MT,5107750,Salto do Céu,0.507,0.666,
MT,5107768,Santa Rita do Trivelato,0.596,0.735,
MT,5107776,Santa Terezinha,0.481,0.609,
MT,5107792,Santo Antônio do Leste,0.529,0.655,
MT,5107800,Santo Antônio do Leverger,0.534,0.656,
MT,5107859,São Félix do Araguaia,0.569,0.668,
MT,5107875,Sapezal,0.601,0.732,
MT,5107883,Serra Nova Dourada,0.498,0.664,
MT,5107909,Sinop,0.626,0.754,
MT,5107925,Sorriso,0.664,0.744,
MT,5107941,Tabaporã,0.51,0.695,
MT,5107958,Tangará da Serra,0.621,0.729,
MT,5108006,Tapurah,0.624,0.714,
MT,5108055,Terra Nova do Norte,0.521,0.698,
MT,5108105,Tesouro,0.588,0.655,
MT,5108204,Torixoréu,0.593,0.716,
MT,5108303,União do Sul,0.525,0.665,
